Service,Converted by our team,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,Comment
Microsoft Foundry RP,Yes,Microsoft.CognitiveServices,cognitiveservices,Done,AlreadyTypeSpec,NotStarted,NotStarted,NotStarted,,,,,,
Azure Container Registry,Yes,Microsoft.ContainerRegistry,containerregistry,Done,AlreadyTypeSpec,Released,Released,ToRelease,,,,,,
Azure Monitor Grafana,Yes,Microsoft.Dashboard,dashboard,Done,AlreadyTypeSpec,Released,Released,Released,,,,,,
AIOps Orchestration,Yes,Microsoft.HybridNetwork,hybridnetwork,NotStarted,NO_SPEC,NotStarted,NotStarted,NotStarted,,,,,,No TypeSpec
Project Vienna Services,Yes,Microsoft.MachineLearningServices,machinelearningservices,,Done,NotStarted,NotStarted,NotStarted,specification/machinelearningservices/MachineLearningServices.Management/tspconfig.yaml,2025-12-01,sdk/machinelearning/azure-resourcemanager-machinelearning,2024-04-01,https://github.com/Azure/azure-sdk-for-java/pull/48310,
Groups RP,Yes,Microsoft.Management,management/Microsoft.Management/ManagementGroups,Core lib,Done,NotStarted,NotStarted,NotStarted,specification/management/resource-manager/Microsoft.Management/ManagementGroups/tspconfig.yaml,2023-04-01,sdk/managementgroups/azure-resourcemanager-managementgroups,2021-04-01,https://github.com/Azure/azure-sdk-for-java/pull/48306,
Microsoft Azure Peering Service,Yes,Microsoft.Peering,peering,Done,Done,Released,NotStarted,NotStarted,specification/peering/resource-manager/Microsoft.Peering/Peering/tspconfig.yaml,2025-05-01,sdk/peering/azure-resourcemanager-peering,2021-01-01,https://github.com/Azure/azure-sdk-for-java/pull/48308,
Resource Provider Service as a Service,Yes,Microsoft.ProviderHub,providerhub,Done,Released,NotStarted,NotStarted,ToRelease,specification/providerhub/ProviderHub.Management/tspconfig.yaml,2024-09-01,sdk/providerhub/azure-resourcemanager-providerhub,2024-09-01,https://github.com/Azure/azure-sdk-for-java/pull/48201,
Redis Enterprise,Yes,Microsoft.Cache,redisenterprise,Done,Done,Released,NotStarted,Released,specification/redisenterprise/RedisEnterprise.Management/tspconfig.yaml,2025-08-01-preview,sdk/redisenterprise/azure-resourcemanager-redisenterprise,2025-07-01,https://github.com/Azure/azure-sdk-for-java/pull/48309,
Azure Policy,Yes,Microsoft.Authorization,resources/Microsoft.Authorization/policy,Done,AlreadyTypeSpec,NotStarted,Released,Released,,,,,,
Microsoft Azure Sentinel,Yes,Microsoft.SecurityInsights,securityinsights,,Done,NotStarted,NotStarted,NotStarted,specification/securityinsights/resource-manager/Microsoft.SecurityInsights/SecurityInsights/tspconfig.yaml,2025-07-01-preview,sdk/securityinsights/azure-resourcemanager-securityinsights,2022-11-01,https://github.com/Azure/azure-sdk-for-java/pull/49113,
App Service (Web Apps),Yes,microsoft.web,web,,AlreadyTypeSpec,NotStarted,NotStarted,Released,,,,,,
App Service (Web Apps),Yes,microsoft.web,web/certificationregistration,Done,AlreadyTypeSpec,Released,NotStarted,Released,,,,,,
App Service (Web Apps),Yes,microsoft.web,web/domainregistration,Done,AlreadyTypeSpec,Released,Released,Released,,,,,,
